fecha,AT_load_actual_entsoe_transparency,forecast,Upper bound,Lower bound
25/07/2019 17:00,8172,,,
25/07/2019 18:00,8107,,,
25/07/2019 19:00,7781,,,
25/07/2019 20:00,7436,,,
25/07/2019 21:00,7219,,,
25/07/2019 22:00,6877,,,
25/07/2019 23:00,6301,,,
26/07/2019 0:00,5957,,,
26/07/2019 1:00,5614,,,
26/07/2019 2:00,5502,,,
26/07/2019 3:00,5376,,,
26/07/2019 4:00,5509,,,
26/07/2019 5:00,5917,,,
26/07/2019 6:00,6757,,,
26/07/2019 7:00,7664,,,
26/07/2019 8:00,8053,,,
26/07/2019 9:00,8204,,,
26/07/2019 10:00,8297,,,
26/07/2019 11:00,8310,,,
26/07/2019 12:00,8054,,,
26/07/2019 13:00,7846,,,
26/07/2019 14:00,7721,,,
26/07/2019 15:00,7687,,,
26/07/2019 16:00,7708,,,
26/07/2019 17:00,7737,,,
26/07/2019 18:00,7707,,,
26/07/2019 19:00,7266,,,
26/07/2019 20:00,6918,,,
26/07/2019 21:00,6714,,,
26/07/2019 22:00,6465,,,
26/07/2019 23:00,5935,,,
27/07/2019 0:00,5651,,,
27/07/2019 1:00,5309,,,
27/07/2019 2:00,5178,,,
27/07/2019 3:00,4997,,,
27/07/2019 4:00,4981,,,
27/07/2019 5:00,5158,,,
27/07/2019 6:00,5520,,,
27/07/2019 7:00,6049,,,
27/07/2019 8:00,6473,,,
27/07/2019 9:00,6721,,,
27/07/2019 10:00,6860,,,
27/07/2019 11:00,6932,,,
27/07/2019 12:00,6727,,,
27/07/2019 13:00,6536,,,
27/07/2019 14:00,6503,,,
27/07/2019 15:00,6506,,,
27/07/2019 16:00,6520,,,
27/07/2019 17:00,6643,,,
27/07/2019 18:00,6514,,,
27/07/2019 19:00,6176,,,
27/07/2019 20:00,5989,,,
27/07/2019 21:00,5814,,,
27/07/2019 22:00,5726,,,
27/07/2019 23:00,5225,,,
28/07/2019 0:00,5007,,,
28/07/2019 1:00,4706,,,
28/07/2019 2:00,4614,,,
28/07/2019 3:00,4447,,,
28/07/2019 4:00,4401,,,
28/07/2019 5:00,4496,,,
28/07/2019 6:00,4660,,,
28/07/2019 7:00,5152,,,
28/07/2019 8:00,5570,,,
28/07/2019 9:00,5902,,,
28/07/2019 10:00,6150,,,
28/07/2019 11:00,6374,,,
28/07/2019 12:00,6263,,,
28/07/2019 13:00,6074,,,
28/07/2019 14:00,5949,,,
28/07/2019 15:00,5978,,,
28/07/2019 16:00,5997,,,
28/07/2019 17:00,6098,,,
28/07/2019 18:00,6188,,,
28/07/2019 19:00,6107,,,
28/07/2019 20:00,6080,,,
28/07/2019 21:00,5873,,,
28/07/2019 22:00,5780,,,
28/07/2019 23:00,5344,,,
29/07/2019 0:00,5111,,,
29/07/2019 1:00,4884,,,
29/07/2019 2:00,4825,,,
29/07/2019 3:00,4715,,,
29/07/2019 4:00,4854,,,
29/07/2019 5:00,5412,,,
29/07/2019 6:00,6404,,,
29/07/2019 7:00,7326,,,
29/07/2019 8:00,7872,,,
29/07/2019 9:00,8076,,,
29/07/2019 10:00,8217,,,
29/07/2019 11:00,8340,,,
29/07/2019 12:00,8084,,,
29/07/2019 13:00,7990,,,
29/07/2019 14:00,7800,,,
29/07/2019 15:00,7698,,,
29/07/2019 16:00,7552,,,
29/07/2019 17:00,7494,,,
29/07/2019 18:00,7424,,,
29/07/2019 19:00,7039,,,
